Amador-El Dorado,262,6,6,56,19,34,10,49,6,0,4,43,29
Butte,193,40,2,34,11,9,4,48,6,0,2,22,15
Humboldt-Del Norte,154,42,24,11,8,4,1,19,1,0,2,38,4
Lassen-Modoc,86,1,2,18,0,2,46,3,0,0,0,12,2
Mendocino,138,17,6,22,11,6,4,34,1,0,2,20,15
Nevada-Yuba-Placer,250,6,9,47,23,23,8,25,3,3,10,82,11
San Mateo-Santa Cruz,74,11,7,12,10,2,0,6,2,0,2,19,3
Santa Clara,114,3,5,1,14,11,0,6,1,0,4,49,20
Shasta-Trinity,179,18,6,42,4,15,22,17,4,0,6,24,21
Siskiyou,162,5,6,8,5,2,47,62,0,1,2,19,5
Sonoma-Lake-Napa,271,9,17,41,39,30,0,51,8,0,2,44,30
Tehama-Glenn,72,1,0,10,2,7,4,16,2,0,0,25,5
Fresno-Kings,60,5,2,12,5,4,1,10,0,0,1,13,7
Madera-Mariposa,124,13,6,21,9,4,3,14,1,0,2,41,10
Riverside,106,4,6,12,7,9,5,15,3,0,4,38,3
San Benito-Monterey,44,1,1,4,12,2,0,11,0,0,0,7,6
San Bernardino,134,10,18,27,2,3,3,26,4,1,4,32,4
San Diego,145,4,6,12,11,2,2,21,0,0,2,66,19
San Luis Obispo,85,0,6,4,10,7,0,21,1,0,2,22,12
Tulare,45,10,2,4,3,4,0,5,0,0,1,10,6
Tuolumne-Calaveras,222,7,5,35,24,28,12,36,5,0,1,52,17
