Amador-El Dorado,325,12,5,88,28,35,4,77,9,0,4,37,26
Butte,211,13,6,39,15,9,15,50,8,0,2,43,11
Humboldt-Del Norte,161,34,14,18,3,6,2,14,3,0,2,60,5
Lassen-Modoc,110,1,3,8,0,2,67,5,3,1,1,13,6
Mendocino,148,12,7,29,24,9,10,6,5,1,1,37,7
Nevada-Yuba-Placer,322,7,10,80,32,35,10,26,5,1,5,92,19
San Mateo-Santa Cruz,108,12,12,9,11,5,1,10,4,1,4,29,10
Santa Clara,145,8,2,3,16,19,0,10,4,0,2,60,21
Shasta-Trinity,260,45,5,45,20,13,26,23,6,0,6,46,25
Siskiyou,142,2,3,18,4,7,57,38,2,0,2,7,2
Sonoma-Lake-Napa,393,15,12,41,65,43,28,48,9,0,6,98,28
Tehama-Glenn,90,9,0,8,10,12,13,12,1,0,1,21,3
Fresno-Kings,68,3,0,8,13,10,5,5,2,0,0,16,6
Madera-Mariposa,160,14,7,15,11,11,3,10,2,0,9,63,15
Riverside,224,3,6,11,10,8,2,44,6,0,3,68,63
San Benito-Monterey,89,3,6,16,9,4,0,14,0,0,5,12,20
San Bernardino,126,9,5,22,3,5,13,19,5,2,5,29,9
San Diego,197,11,7,7,10,27,1,27,3,0,2,86,16
San Luis Obispo,122,0,5,5,13,12,0,30,2,0,2,37,16
Tulare,60,12,2,3,6,13,4,5,0,0,0,8,7
Tuolumne-Calaveras,211,8,6,39,19,24,1,25,4,0,3,66,16

