Amador-El Dorado,236,7,3,58,27,25,45,16,3,0,8,31,13
Butte,118,7,0,15,14,0,19,4,7,0,2,31,19
Humboldt-Del Norte,123,38,16,13,3,1,5,10,0,0,0,30,7
Lassen-Modoc,42,1,1,9,2,15,5,0,2,0,0,6,1
Mendocino,102,5,7,17,6,1,5,12,7,0,2,31,9
Nevada-Yuba-Placer,249,7,6,50,20,6,28,18,2,3,2,78,29
San Mateo-Santa Cruz,58,2,7,9,3,2,12,10,3,0,0,8,2
Santa Clara,84,3,4,2,4,0,12,15,0,0,0,27,17
Shasta-Trinity,193,14,9,29,22,15,23,19,3,0,2,47,10
Siskiyou,99,3,3,32,4,5,22,1,1,0,2,23,3
Sonoma-Lake-Napa,277,8,11,36,27,1,34,33,4,0,4,94,25
Tehama-Glenn,82,2,2,9,15,2,16,5,1,0,0,27,3
Fresno-Kings,101,10,1,6,14,4,14,19,0,0,1,22,10
Madera-Mariposa,135,8,4,31,6,1,18,9,2,0,2,40,14
Riverside,172,9,3,15,11,8,27,8,6,0,8,69,8
San Benito-Monterey,96,6,5,12,10,4,15,21,2,0,1,7,13
San Bernardino,142,4,12,21,3,13,26,10,5,0,5,36,7
San Diego,162,7,3,15,16,12,27,9,1,0,0,65,7
San Luis Obispo,136,0,4,8,9,2,51,14,2,1,1,32,12
Tulare,38,7,1,2,3,1,3,6,0,0,0,11,4
Tuolumne-Calaveras,277,22,4,55,27,36,38,13,8,0,2,65,7
